Time [s],Packet ID,MOSI,MISO
4.108880200000000,0,0x12,0x00
5.109988000000000,0,0x01,0x00
5.110044320000000,0,0xF9,0xFF
5.110062800000000,0,0x00,0xFF
5.110081280000000,0,0x00,0xFF
5.110125600000000,0,0x3A,0x00
5.110167440000000,0,0x1B,0xFF
5.110210120000000,0,0x3B,0x00
5.110251760000000,0,0x0B,0xFF
5.110294040000000,0,0x11,0x00
5.110335520000000,0,0x03,0xFF
5.110379640000000,0,0x44,0x00
5.110421040000000,0,0x00,0xFF
5.110439480000000,0,0x10,0xFF
5.110483120000000,0,0x45,0x00
5.110525360000000,0,0x00,0xFF
5.110543800000000,0,0x00,0xFF
5.110562280000000,0,0xF9,0xFF
5.110580760000000,0,0x00,0xFF
5.110622920000000,0,0x2C,0x00
5.110664040000000,0,0x70,0xFF
5.110710800000000,0,0x32,0x00
5.110755240000000,0,0x02,0xFF
5.110773680000000,0,0x02,0xFF
5.110792160000000,0,0x01,0xFF
5.110810640000000,0,0x11,0xFF
5.110829080000000,0,0x12,0xFF
5.110847560000000,0,0x12,0xFF
5.110866040000000,0,0x22,0xFF
5.110884480000000,0,0x22,0xFF
5.110902960000000,0,0x66,0xFF
5.110921440000000,0,0x69,0xFF
5.110939880000000,0,0x69,0xFF
5.110958360000000,0,0x59,0xFF
5.110976840000000,0,0x58,0xFF
5.110995320000000,0,0x99,0xFF
5.111013760000000,0,0x99,0xFF
5.111032240000000,0,0x88,0xFF
5.111050720000000,0,0x00,0xFF
5.111069160000000,0,0x00,0xFF
5.111087640000000,0,0x00,0xFF
5.111106120000000,0,0x00,0xFF
5.111124560000000,0,0xF8,0xFF
5.111143040000000,0,0xB4,0xFF
5.111161520000000,0,0x13,0xFF
5.111179960000000,0,0x51,0xFF
5.111198440000000,0,0x35,0xFF
5.111216920000000,0,0x51,0xFF
5.111235400000000,0,0x51,0xFF
5.111253840000000,0,0x19,0xFF
5.111272320000000,0,0x01,0xFF
5.111290800000000,0,0x00,0xFF
5.111342680000000,0,0x3C,0x00
5.111383920000000,0,0x01,0xFF
5.111425880000000,0,0x4E,0x00
5.111467240000000,0,0x00,0xFF
5.111509040000000,0,0x4F,0x00
5.111550200000000,0,0x00,0xFF
5.111568640000000,0,0x00,0xFF
5.111613320000000,0,0x24,0x00
5.111745880000000,0,0xFF,0xFF
5.111762320000000,0,0xFF,0xFF
5.111778720000000,0,0xFF,0xFF
5.111795120000000,0,0xFF,0xFF
5.111811560000000,0,0xFF,0xFF
5.111827960000000,0,0xFF,0xFF
5.111844400000000,0,0xFF,0xFF
5.111860800000000,0,0xFF,0xFF
5.111877200000000,0,0xFF,0xFF
5.111893640000000,0,0xFF,0xFF
5.111910040000000,0,0xFF,0xFF
5.111926480000000,0,0xFF,0xFF
5.111942880000000,0,0xFF,0xFF
5.111959280000000,0,0xFF,0xFF
5.111975720000000,0,0xFF,0xFF
5.111992120000000,0,0xFF,0xFF
5.112008560000000,0,0xFF,0xFF
5.112024960000000,0,0xFF,0xFF
5.112041360000000,0,0xFF,0xFF
5.112057800000000,0,0xFF,0xFF
5.112074200000000,0,0xFF,0xFF
5.112090640000000,0,0xFF,0xFF
5.112107040000000,0,0xFF,0xFF
5.112123440000000,0,0xFF,0xFF
5.112139880000000,0,0xFF,0xFF
5.112156280000000,0,0xFF,0xFF
5.112172720000000,0,0xFF,0xFF
5.112189120000000,0,0xFF,0xFF
5.112205520000000,0,0xFF,0xFF
5.112221960000000,0,0xFF,0xFF
5.112238360000000,0,0xFF,0xFF
5.112254800000000,0,0xFF,0xFF
5.112271200000000,0,0xFF,0xFF
5.112287600000000,0,0xFF,0xFF
5.112304040000000,0,0xFF,0xFF
5.112320440000000,0,0xFF,0xFF
5.112336840000000,0,0xFF,0xFF
5.112353280000000,0,0xFF,0xFF
5.112369680000000,0,0xFF,0xFF
5.112386120000000,0,0xFF,0xFF
5.112402520000000,0,0xFF,0xFF
5.112418920000000,0,0xFF,0xFF
5.112435360000000,0,0xFF,0xFF
